[DBG] sensorHeight=66.0
Returned to Origin, Ready to Scan
[DBG] numPts=1500
50.00 350.00 29.00
50.00 340.00 27.00
50.00 330.00 26.00
50.00 320.00 22.00
50.00 310.00 22.00
50.00 300.00 29.00
50.00 290.00 30.00
50.00 280.00 28.00
50.00 270.00 22.00
50.00 260.00 24.00
50.00 250.00 25.00
50.00 240.00 26.00
50.00 230.00 26.00
50.00 220.00 25.00
50.00 210.00 24.00
50.00 200.00 21.00
50.00 190.00 20.00
50.00 180.00 20.00
50.00 170.00 19.00
50.00 160.00 16.00
50.00 150.00 14.00
50.00 140.00 7.00
50.00 130.00 4.00
50.00 120.00 1.00
50.00 110.00 1.00
50.00 100.00 1.00
50.00 90.00 1.00
50.00 80.00 1.00
50.00 70.00 1.00
50.00 60.00 1.00
50.00 50.00 1.00
50.00 40.00 1.00
50.00 30.00 1.00
50.00 20.00 1.00
50.00 10.00 1.00
50.00 0.00 1.00
60.00 0.00 1.00
60.00 10.00 1.00
60.00 20.00 1.00
60.00 30.00 1.00
60.00 40.00 1.00
60.00 50.00 1.00
60.00 60.00 1.00
60.00 70.00 1.00
60.00 80.00 1.00
60.00 90.00 1.00
60.00 100.00 1.00
60.00 110.00 2.00
60.00 120.00 5.00
60.00 130.00 10.00
60.00 140.00 18.00
60.00 150.00 19.00
60.00 160.00 21.00
60.00 170.00 24.00
60.00 180.00 25.00
60.00 190.00 26.00
60.00 200.00 25.00
60.00 210.00 27.00
60.00 220.00 28.00
60.00 230.00 29.00
60.00 240.00 29.00
60.00 250.00 28.00
60.00 260.00 25.00
60.00 270.00 24.00
[DBG] skip bogus d=9999.0
[DBG] skip bogus d=9999.0
60.00 300.00 27.00
60.00 310.00 25.00
60.00 320.00 27.00
60.00 330.00 30.00
60.00 340.00 33.00
60.00 350.00 31.00
60.00 360.00 31.00
60.00 370.00 30.00
60.00 380.00 30.00
60.00 390.00 30.00
60.00 400.00 30.00
60.00 410.00 28.00
60.00 420.00 28.00
60.00 430.00 28.00
60.00 440.00 28.00
60.00 450.00 25.00
60.00 460.00 26.00
60.00 470.00 24.00
60.00 480.00 20.00
60.00 490.00 17.00
60.00 500.00 15.00
70.00 500.00 21.00
70.00 490.00 16.00
70.00 480.00 26.00
70.00 470.00 29.00
70.00 460.00 30.00
70.00 450.00 31.00
70.00 440.00 32.00
70.00 430.00 32.00
70.00 420.00 34.00
70.00 410.00 33.00
70.00 400.00 34.00
70.00 390.00 35.00
70.00 380.00 34.00
70.00 370.00 35.00
70.00 360.00 35.00
70.00 350.00 36.00
70.00 340.00 33.00
70.00 330.00 33.00
70.00 320.00 31.00
70.00 310.00 29.00
[DBG] skip bogus d=9999.0
70.00 290.00 29.00
[DBG] skip bogus d=9999.0
70.00 270.00 25.00
70.00 260.00 29.00
70.00 250.00 32.00
70.00 240.00 33.00
70.00 230.00 32.00
70.00 220.00 31.00
70.00 210.00 30.00
70.00 200.00 30.00
70.00 190.00 30.00
70.00 180.00 27.00
70.00 170.00 27.00
70.00 160.00 25.00
70.00 150.00 19.00
70.00 140.00 16.00
70.00 130.00 8.00
70.00 120.00 2.00
70.00 110.00 2.00
70.00 100.00 1.00
70.00 90.00 1.00
70.00 80.00 1.00
70.00 70.00 1.00
70.00 60.00 1.00
70.00 50.00 1.00
70.00 40.00 1.00
70.00 30.00 1.00
70.00 20.00 1.00
70.00 10.00 1.00
70.00 0.00 1.00
80.00 0.00 1.00
80.00 10.00 1.00
80.00 20.00 1.00
80.00 30.00 1.00
80.00 40.00 1.00
80.00 50.00 1.00
80.00 60.00 1.00
80.00 70.00 1.00
80.00 80.00 1.00
80.00 90.00 1.00
80.00 100.00 1.00
80.00 110.00 1.00
80.00 120.00 8.00
80.00 130.00 16.00
80.00 140.00 24.00
80.00 150.00 27.00
80.00 160.00 29.00
80.00 170.00 29.00
80.00 180.00 30.00
80.00 190.00 31.00
80.00 200.00 32.00
80.00 210.00 34.00
80.00 220.00 34.00
80.00 230.00 34.00
80.00 240.00 34.00
80.00 250.00 32.00
80.00 260.00 31.00
80.00 270.00 31.00
80.00 280.00 33.00
80.00 290.00 35.00
80.00 300.00 32.00
80.00 310.00 33.00
80.00 320.00 35.00
80.00 330.00 36.00
80.00 340.00 38.00
80.00 350.00 36.00
80.00 360.00 37.00
80.00 370.00 36.00
80.00 380.00 36.00
80.00 390.00 35.00
80.00 400.00 35.00
80.00 410.00 34.00
80.00 420.00 33.00
80.00 430.00 33.00
80.00 440.00 32.00
80.00 450.00 30.00
80.00 460.00 29.00
80.00 470.00 26.00
80.00 480.00 21.00
80.00 490.00 14.00
80.00 500.00 13.00
90.00 500.00 24.00
90.00 490.00 18.00
90.00 480.00 27.00
90.00 470.00 30.00
90.00 460.00 34.00
90.00 450.00 36.00
90.00 440.00 37.00
90.00 430.00 38.00
90.00 420.00 39.00
90.00 410.00 41.00
90.00 400.00 41.00
90.00 390.00 39.00
90.00 380.00 39.00
90.00 370.00 39.00
90.00 360.00 39.00
90.00 350.00 39.00
90.00 340.00 42.00
90.00 330.00 37.00
90.00 320.00 35.00
90.00 310.00 37.00
90.00 300.00 38.00
90.00 290.00 41.00
90.00 280.00 39.00
90.00 270.00 36.00
90.00 260.00 34.00
90.00 250.00 36.00
90.00 240.00 37.00
90.00 230.00 36.00
90.00 220.00 37.00
90.00 210.00 36.00
90.00 200.00 35.00
90.00 190.00 35.00
90.00 180.00 33.00
90.00 170.00 33.00
90.00 160.00 29.00
90.00 150.00 27.00
90.00 140.00 17.00
90.00 130.00 12.00
90.00 120.00 2.00
90.00 110.00 1.00
90.00 100.00 1.00
90.00 90.00 1.00
90.00 80.00 1.00
90.00 70.00 1.00
90.00 60.00 1.00
90.00 50.00 1.00
90.00 40.00 1.00
90.00 30.00 1.00
90.00 20.00 1.00
90.00 10.00 1.00
90.00 0.00 1.00
100.00 0.00 1.00
100.00 10.00 1.00
100.00 20.00 1.00
100.00 30.00 1.00
100.00 40.00 1.00
100.00 50.00 1.00
100.00 60.00 1.00
100.00 70.00 1.00
100.00 80.00 1.00
100.00 90.00 1.00
100.00 100.00 1.00
100.00 110.00 1.00
100.00 120.00 5.00
100.00 130.00 16.00
100.00 140.00 24.00
100.00 150.00 30.00
100.00 160.00 32.00
100.00 170.00 34.00
100.00 180.00 36.00
100.00 190.00 36.00
100.00 200.00 36.00
100.00 210.00 38.00
100.00 220.00 38.00
100.00 230.00 37.00
100.00 240.00 39.00
100.00 250.00 41.00
100.00 260.00 38.00
100.00 270.00 41.00
100.00 280.00 41.00
100.00 290.00 41.00
100.00 300.00 41.00
100.00 310.00 42.00
100.00 320.00 42.00
100.00 330.00 42.00
100.00 340.00 42.00
100.00 350.00 42.00
100.00 360.00 41.00
100.00 370.00 41.00
100.00 380.00 38.00
100.00 390.00 41.00
100.00 400.00 39.00
100.00 410.00 37.00
100.00 420.00 35.00
100.00 430.00 35.00
100.00 440.00 32.00
100.00 450.00 30.00
100.00 460.00 29.00
100.00 470.00 26.00
100.00 480.00 21.00
100.00 490.00 10.00
100.00 500.00 7.00
110.00 500.00 10.00
110.00 490.00 3.00
110.00 480.00 26.00
110.00 470.00 31.00
110.00 460.00 34.00
110.00 450.00 36.00
110.00 440.00 38.00
110.00 430.00 38.00
110.00 420.00 42.00
110.00 410.00 41.00
110.00 400.00 42.00
110.00 390.00 42.00
110.00 380.00 42.00
110.00 370.00 43.00
110.00 360.00 43.00
110.00 350.00 43.00
110.00 340.00 43.00
110.00 330.00 43.00
110.00 320.00 43.00
110.00 310.00 43.00
110.00 300.00 41.00
110.00 290.00 42.00
110.00 280.00 42.00
110.00 270.00 42.00
110.00 260.00 41.00
110.00 250.00 41.00
110.00 240.00 39.00
110.00 230.00 41.00
110.00 220.00 41.00
110.00 210.00 39.00
110.00 200.00 38.00
110.00 190.00 37.00
110.00 180.00 36.00
110.00 170.00 34.00
110.00 160.00 31.00
110.00 150.00 30.00
110.00 140.00 16.00
110.00 130.00 7.00
110.00 120.00 3.00
110.00 110.00 1.00
110.00 100.00 2.00
110.00 90.00 1.00
110.00 80.00 1.00
110.00 70.00 1.00
110.00 60.00 1.00
110.00 50.00 1.00
110.00 40.00 1.00
110.00 30.00 1.00
110.00 20.00 1.00
110.00 10.00 1.00
110.00 0.00 1.00
120.00 0.00 1.00
120.00 10.00 1.00
120.00 20.00 1.00
120.00 30.00 1.00
120.00 40.00 1.00
120.00 50.00 1.00
120.00 60.00 1.00
120.00 70.00 1.00
120.00 80.00 1.00
120.00 90.00 1.00
120.00 100.00 1.00
120.00 110.00 1.00
120.00 120.00 4.00
120.00 130.00 13.00
120.00 140.00 26.00
120.00 150.00 30.00
120.00 160.00 31.00
120.00 170.00 33.00
120.00 180.00 36.00
120.00 190.00 37.00
120.00 200.00 37.00
120.00 210.00 38.00
120.00 220.00 38.00
120.00 230.00 39.00
120.00 240.00 39.00
120.00 250.00 39.00
120.00 260.00 39.00
120.00 270.00 41.00
120.00 280.00 41.00
120.00 290.00 42.00
120.00 300.00 43.00
120.00 310.00 43.00
120.00 320.00 42.00
120.00 330.00 43.00
120.00 340.00 42.00
120.00 350.00 41.00
120.00 360.00 41.00
120.00 370.00 41.00
120.00 380.00 39.00
120.00 390.00 39.00
120.00 400.00 37.00
120.00 410.00 36.00
120.00 420.00 34.00
120.00 430.00 33.00
120.00 440.00 31.00
120.00 450.00 27.00
120.00 460.00 24.00
120.00 470.00 16.00
120.00 480.00 6.00
120.00 490.00 1.00
120.00 500.00 1.00
130.00 500.00 8.00
130.00 490.00 1.00
130.00 480.00 8.00
130.00 470.00 22.00
130.00 460.00 30.00
130.00 450.00 32.00
130.00 440.00 35.00
130.00 430.00 37.00
130.00 420.00 38.00
130.00 410.00 39.00
130.00 400.00 38.00
130.00 390.00 41.00
130.00 380.00 41.00
130.00 370.00 41.00
130.00 360.00 41.00
130.00 350.00 42.00
130.00 340.00 41.00
130.00 330.00 42.00
130.00 320.00 43.00
130.00 310.00 42.00
130.00 300.00 42.00
130.00 290.00 42.00
130.00 280.00 42.00
130.00 270.00 42.00
130.00 260.00 41.00
130.00 250.00 41.00
130.00 240.00 41.00
130.00 230.00 39.00
130.00 220.00 41.00
130.00 210.00 39.00
130.00 200.00 37.00
130.00 190.00 37.00
130.00 180.00 35.00
130.00 170.00 32.00
130.00 160.00 31.00
130.00 150.00 22.00
130.00 140.00 13.00
130.00 130.00 1.00
130.00 120.00 1.00
130.00 110.00 1.00
130.00 100.00 1.00
130.00 90.00 1.00
130.00 80.00 1.00
130.00 70.00 1.00
130.00 60.00 1.00
130.00 50.00 1.00
130.00 40.00 1.00
130.00 30.00 1.00
130.00 20.00 1.00
130.00 10.00 1.00
130.00 0.00 1.00
140.00 0.00 1.00
140.00 10.00 1.00
140.00 20.00 1.00
140.00 30.00 1.00
140.00 40.00 1.00
140.00 50.00 1.00
140.00 60.00 1.00
140.00 70.00 1.00
140.00 80.00 1.00
140.00 90.00 1.00
140.00 100.00 1.00
140.00 110.00 1.00
140.00 120.00 1.00
140.00 130.00 3.00
140.00 140.00 14.00
140.00 150.00 27.00
140.00 160.00 29.00
140.00 170.00 29.00
140.00 180.00 33.00
140.00 190.00 33.00
140.00 200.00 34.00
140.00 210.00 36.00
140.00 220.00 36.00
140.00 230.00 37.00
140.00 240.00 39.00
140.00 250.00 37.00
140.00 260.00 38.00
140.00 270.00 38.00
140.00 280.00 37.00
140.00 290.00 38.00
140.00 300.00 38.00
140.00 310.00 38.00
140.00 320.00 39.00
140.00 330.00 39.00
140.00 340.00 38.00
140.00 350.00 37.00
140.00 360.00 37.00
140.00 370.00 36.00
140.00 380.00 35.00
140.00 390.00 35.00
140.00 400.00 33.00
140.00 410.00 31.00
140.00 420.00 30.00
140.00 430.00 26.00
140.00 440.00 19.00
140.00 450.00 22.00
140.00 460.00 4.00
140.00 470.00 1.00
140.00 480.00 1.00
140.00 490.00 1.00
140.00 500.00 1.00
150.00 500.00 1.00
150.00 490.00 1.00
150.00 480.00 1.00
150.00 470.00 4.00
150.00 460.00 20.00
150.00 450.00 24.00
150.00 440.00 28.00
150.00 430.00 31.00
150.00 420.00 33.00
150.00 410.00 34.00
150.00 400.00 35.00
150.00 390.00 36.00
150.00 380.00 37.00
150.00 370.00 38.00
150.00 360.00 38.00
150.00 350.00 39.00
150.00 340.00 38.00
150.00 330.00 38.00
150.00 320.00 39.00
150.00 310.00 39.00
150.00 300.00 38.00
150.00 290.00 39.00
150.00 280.00 39.00
150.00 270.00 39.00
150.00 260.00 38.00
150.00 250.00 38.00
150.00 240.00 38.00
150.00 230.00 37.00
150.00 220.00 36.00
150.00 210.00 35.00
150.00 200.00 34.00
150.00 190.00 32.00
150.00 180.00 30.00
150.00 170.00 27.00
150.00 160.00 22.00
150.00 150.00 15.00
150.00 140.00 1.00
150.00 130.00 1.00
150.00 120.00 1.00
150.00 110.00 1.00
150.00 100.00 1.00
150.00 90.00 1.00
150.00 80.00 1.00
150.00 70.00 1.00
150.00 60.00 1.00
150.00 50.00 1.00
150.00 40.00 1.00
150.00 30.00 1.00
150.00 20.00 1.00
150.00 10.00 1.00
150.00 0.00 1.00
160.00 0.00 1.00
160.00 10.00 1.00
160.00 20.00 1.00
160.00 30.00 1.00
160.00 40.00 1.00
160.00 50.00 1.00
160.00 60.00 1.00
160.00 70.00 1.00
160.00 80.00 1.00
160.00 90.00 1.00
160.00 100.00 1.00
160.00 110.00 1.00
160.00 120.00 1.00
160.00 130.00 1.00
160.00 140.00 1.00
160.00 150.00 5.00
160.00 160.00 12.00
160.00 170.00 18.00
160.00 180.00 25.00
160.00 190.00 27.00
160.00 200.00 28.00
160.00 210.00 29.00
160.00 220.00 31.00
160.00 230.00 32.00
160.00 240.00 32.00
160.00 250.00 32.00
160.00 260.00 31.00
160.00 270.00 34.00
160.00 280.00 34.00
160.00 290.00 32.00
160.00 300.00 34.00
160.00 310.00 33.00
160.00 320.00 33.00
160.00 330.00 33.00
160.00 340.00 32.00
160.00 350.00 32.00
160.00 360.00 30.00
160.00 370.00 30.00
160.00 380.00 28.00
160.00 390.00 27.00
160.00 400.00 25.00
160.00 410.00 20.00
160.00 420.00 16.00
160.00 430.00 11.00
160.00 440.00 3.00
160.00 450.00 1.00
160.00 460.00 1.00
160.00 470.00 1.00
160.00 480.00 1.00
160.00 490.00 1.00
160.00 500.00 1.00
170.00 500.00 2.00
170.00 490.00 4.00
170.00 480.00 3.00
170.00 470.00 2.00
170.00 460.00 2.00
170.00 450.00 3.00
170.00 440.00 10.00
170.00 430.00 13.00
170.00 420.00 18.00
170.00 410.00 22.00
170.00 400.00 21.00
170.00 390.00 25.00
170.00 380.00 27.00
170.00 370.00 28.00
170.00 360.00 30.00
170.00 350.00 29.00
170.00 340.00 30.00
170.00 330.00 31.00
170.00 320.00 32.00
170.00 310.00 33.00
170.00 300.00 33.00
170.00 290.00 31.00
170.00 280.00 32.00
170.00 270.00 32.00
170.00 260.00 32.00
170.00 250.00 30.00
170.00 240.00 30.00
170.00 230.00 29.00
170.00 220.00 27.00
170.00 210.00 26.00
170.00 200.00 22.00
170.00 190.00 18.00
170.00 180.00 16.00
170.00 170.00 5.00
170.00 160.00 2.00
170.00 150.00 1.00
170.00 140.00 1.00
170.00 130.00 1.00
170.00 120.00 1.00
170.00 110.00 1.00
170.00 100.00 1.00
170.00 90.00 1.00
170.00 80.00 1.00
170.00 70.00 1.00
170.00 60.00 1.00
170.00 50.00 1.00
170.00 40.00 1.00
170.00 30.00 1.00
170.00 20.00 1.00
170.00 10.00 1.00
170.00 0.00 1.00
180.00 0.00 1.00
180.00 10.00 1.00
180.00 20.00 1.00
180.00 30.00 1.00
180.00 40.00 1.00
180.00 50.00 1.00
180.00 60.00 1.00
180.00 70.00 1.00
180.00 80.00 1.00
180.00 90.00 1.00
180.00 100.00 1.00
180.00 110.00 1.00
180.00 120.00 1.00
180.00 130.00 1.00
180.00 140.00 1.00
180.00 150.00 1.00
180.00 160.00 1.00
180.00 170.00 1.00
180.00 180.00 1.00
180.00 190.00 2.00
180.00 200.00 4.00
180.00 210.00 10.00
180.00 220.00 12.00
180.00 230.00 12.00
180.00 240.00 15.00
180.00 250.00 16.00
180.00 260.00 15.00
180.00 270.00 16.00
180.00 280.00 17.00
180.00 290.00 17.00
180.00 300.00 17.00
180.00 310.00 16.00
180.00 320.00 15.00
180.00 330.00 14.00
180.00 340.00 14.00
180.00 350.00 11.00
180.00 360.00 9.00
180.00 370.00 8.00
180.00 380.00 7.00
180.00 390.00 4.00
180.00 400.00 3.00
180.00 410.00 4.00
180.00 420.00 2.00
180.00 430.00 2.00
180.00 440.00 1.00
180.00 450.00 2.00
180.00 460.00 3.00
180.00 470.00 2.00
180.00 480.00 2.00
180.00 490.00 1.00
180.00 500.00 1.00
190.00 500.00 2.00
190.00 490.00 1.00
190.00 480.00 2.00
190.00 470.00 1.00
190.00 460.00 3.00
190.00 450.00 4.00
190.00 440.00 2.00
190.00 430.00 2.00
190.00 420.00 4.00
190.00 410.00 4.00
190.00 400.00 4.00
190.00 390.00 4.00
190.00 380.00 5.00
190.00 370.00 5.00
190.00 360.00 4.00
190.00 350.00 8.00
190.00 340.00 8.00
190.00 330.00 7.00
190.00 320.00 8.00
190.00 310.00 9.00
190.00 300.00 9.00
190.00 290.00 9.00
190.00 280.00 10.00
190.00 270.00 10.00
190.00 260.00 10.00
190.00 250.00 8.00
190.00 240.00 9.00
190.00 230.00 5.00
190.00 220.00 4.00
190.00 210.00 2.00
190.00 200.00 1.00
190.00 190.00 2.00
190.00 180.00 1.00
190.00 170.00 1.00
190.00 160.00 1.00
190.00 150.00 1.00
190.00 140.00 1.00
190.00 130.00 1.00
190.00 120.00 1.00
190.00 110.00 1.00
190.00 100.00 1.00
190.00 90.00 1.00
190.00 80.00 1.00
190.00 70.00 1.00
190.00 60.00 1.00
190.00 50.00 1.00
190.00 40.00 1.00
190.00 30.00 1.00
190.00 20.00 1.00
190.00 10.00 1.00
190.00 0.00 1.00
200.00 0.00 1.00
200.00 10.00 1.00
200.00 20.00 1.00
200.00 30.00 1.00
200.00 40.00 1.00
200.00 50.00 1.00
200.00 60.00 1.00
200.00 70.00 1.00
200.00 80.00 1.00
200.00 90.00 1.00
200.00 100.00 1.00
200.00 110.00 1.00
200.00 120.00 1.00
200.00 130.00 1.00
200.00 140.00 1.00
200.00 150.00 1.00
200.00 160.00 1.00
200.00 170.00 1.00
200.00 180.00 1.00
200.00 190.00 1.00
200.00 200.00 1.00
200.00 210.00 1.00
200.00 220.00 1.00
200.00 230.00 1.00
200.00 240.00 1.00
200.00 250.00 1.00
200.00 260.00 1.00
200.00 270.00 1.00
200.00 280.00 1.00
200.00 290.00 1.00
200.00 300.00 1.00
200.00 310.00 1.00
200.00 320.00 1.00
200.00 330.00 1.00
200.00 340.00 1.00
200.00 350.00 1.00
200.00 360.00 1.00
200.00 370.00 1.00
200.00 380.00 1.00
200.00 390.00 1.00
200.00 400.00 1.00
200.00 410.00 1.00
200.00 420.00 1.00
200.00 430.00 1.00
200.00 440.00 1.00
200.00 450.00 1.00
200.00 460.00 1.00
200.00 470.00 1.00
200.00 480.00 1.00
200.00 490.00 1.00
200.00 500.00 1.00
210.00 500.00 1.00
210.00 490.00 1.00
210.00 480.00 1.00
210.00 470.00 1.00
210.00 460.00 1.00
210.00 450.00 1.00
210.00 440.00 1.00
210.00 430.00 3.00
210.00 420.00 1.00
210.00 410.00 1.00
210.00 400.00 2.00
210.00 390.00 1.00
210.00 380.00 2.00
210.00 370.00 1.00
210.00 360.00 1.00
210.00 350.00 1.00
210.00 340.00 1.00
210.00 330.00 2.00
210.00 320.00 1.00
210.00 310.00 1.00
210.00 300.00 1.00
